b1,100000000,500000000.0000
gugenesis111,1536.0688,7680.3440
gygenesis111,2580.9968,12904.9840
hagenesis111,10000.0066,50000.0330
hegenesis111,87129.6372,435648.1860
geyagenesis1,16823.5733,84117.8665
gi3agenesis1,106.5694,532.8470
gq3agenesis1,20961.6925,104808.4625
gq4agenesis1,900.0361,4500.1805
gq4qgenesis1,1157.8557,5789.2785
guzqgenesis1,597.2978,2986.4890
gu2agenesis1,173.2552,866.2760
gyyagenesis1,6136.8918,30684.4590
ha3qgenesis1,2021.4324,10107.1620
ha4agenesis1,8509.4671,42547.3355
hezqgenesis1,500.9334,2504.6670
he3agenesis1,141.9001,709.5005
geydogenesis,808.8714,4044.3570
ge2digenesis,1388.4504,6942.2520
ge2dmgenesis,611.7185,3058.5925
ge2tagenesis,105,525.0000
ge3digenesis,201.9355,1009.6775
ge3dmgenesis,1000.5425,5002.7125
ge3tegenesis,500,2500.0000
ge4dogenesis,168.0305,840.1525
ge4dsgenesis,378.1324,1890.6620
giydggenesis,4639.7513,23198.7565
gizdogenesis,10078.5738,50392.8690
giztcgenesis,400.0001,2000.0005
giztegenesis,1432.6267,7163.1335
gi3tggenesis,11044.9001,55224.5005
gi4tagenesis,28137.0502,140685.2510
gi4tkgenesis,2097.8836,10489.4180
gi4tmgenesis,4199.9808,20999.9040
gmydagenesis,2024.4926,10122.4630
gmydcgenesis,20000.3429,100001.7145
gmydigenesis,477.1954,2385.9770
gmydqgenesis,415.9067,2079.5335
gmydsgenesis,560.0001,2800.0005
gmytegenesis,17487.1604,87435.8020
gmzdcgenesis,2009.0487,10045.2435
gm3dkgenesis,50400.2575,252001.2875
gm3tggenesis,356.2522,1781.2610
gm3togenesis,104.681,523.4050
gm4dogenesis,100.5001,502.5005
gqydmgenesis,4131.2865,20656.4325
gqzdagenesis,10359.5964,51797.9820
gqzdegenesis,804.0785,4020.3925
gqzdggenesis,1001.9742,5009.8710
gqzdqgenesis,2300.3365,11501.6825
gqzdsgenesis,649.056,3245.2800
gqztegenesis,8380.819,41904.0950
gq2tsgenesis,49565.1285,247825.6425
gq3digenesis,224.8555,1124.2775
gq3tegenesis,384.6151,1923.0755
gq3tqgenesis,5223.4679,26117.3395
gq4dggenesis,310.4901,1552.4505
guydigenesis,110.0818,550.4090
guydqgenesis,160.8371,804.1855
guytegenesis,750.02,3750.1000
guztigenesis,249.0144,1245.0720
gu2dkgenesis,58000.0001,290000.0005
gu2tqgenesis,3192.4864,15962.4320
gu3tmgenesis,576.9945,2884.9725
gu3togenesis,2144.1857,10720.9285
gu4dggenesis,306.7945,1533.9725
gu4tcgenesis,306.6945,1533.4725
gu4tggenesis,7124.947,35624.7350
gu4togenesis,613.589,3067.9450
gyytsgenesis,1383.2991,6916.4955
